contract_id,contract,producer_layers,consumer_layers,evidence
C01,Opcode numeric assignments (e.g. CALL=0x90 CALL_EXTERNAL=0x91),five-protocol,dsl-compiler vm-mito solana sdk cli,"five-protocol/src/opcodes.rs:235; five-protocol/src/opcodes.rs:236; five-dsl-compiler/tests/protocol_alignment_tests.rs:62; five-vm-mito/src/execution.rs:330"
C02,Execute payload framing (function_index:u32 param_count:u16 typed params),five-protocol test_fixtures,sdk vm-mito solana,"five-protocol/src/test_fixtures.rs:77; five-vm-mito/src/context.rs:958; five-solana/tests/parameter_indexing_tests.rs:12; five-sdk/src/__tests__/unit/execute-wire-format.test.ts:1"
C03,CALL wire format (opcode + param_count:u8 + addr:u16),dsl-compiler bytecode_builder,protocol parser vm-mito solana verifier,"five-protocol/src/bytecode_builder.rs:115; five-protocol/src/parser.rs:192; five-vm-mito/src/handlers/functions.rs:81; five-solana/src/instructions/verify.rs:58"
C04,CALL_EXTERNAL wire format (opcode + account_index:u8 + offset:u16 + param_count:u8),dsl-compiler ast_generator,protocol parser vm-mito solana,"five-dsl-compiler/src/bytecode_generator/ast_generator/functions.rs:234; five-dsl-compiler/src/bytecode_generator/opcodes.rs:481; five-solana/tests/call_external_tests.rs:48; five-vm-mito/src/handlers/functions.rs:300"
C05,Deploy-time call/jump bounds verification,solana verifier,deploy instruction pipeline,"five-solana/src/instructions/verify.rs:52; five-solana/tests/deploy_verification_tests.rs:1"
C06,CALL metadata skip behavior (feature-gated),dsl-compiler call metadata emitter,vm-mito CALL handler,"five-vm-mito/src/handlers/functions.rs:111; five-vm-mito/src/handlers/functions.rs:184; five-dsl-compiler/tests/test_call_patching.rs:7"
C07,Function constraint metadata (feature flag + runtime enforcement),compiler metadata emitter,vm-mito CALL_EXTERNAL validation,"five-protocol/src/lib.rs:53; five-vm-mito/src/handlers/functions.rs:205; five-vm-mito/src/handlers/functions.rs:233"
C08,SDK execution transaction assembly (keys + ix data),sdk execute module,solana runtime frontend/cli callers,"five-sdk/src/modules/execute.ts:614; five-sdk/src/modules/execute.ts:636; five-frontend/src/lib/five-program-client.ts:9"
C09,Frontend boundary consumes SDK + wasm compiler,frontend IDE layer,sdk and wasm artifacts,"five-frontend/src/components/editor/ProjectConfigModal.tsx:8; five-frontend/src/lib/five-program-client.ts:9; five-frontend/src/app/ide/page.tsx:138"
C10,CLI command surface for deploy verification toggles,cli commands,sdk/deploy pipeline,"five-cli/src/commands/deploy-and-execute.ts:71; five-cli/src/commands/deploy-and-execute.ts:72"
